発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A001,C,A002,,,$最初に自己紹介をしようよ。ぼくは、<RoboNameC>っていいます。そしてぼくの後ろにいるのが<YourNameC>さんです。,最初に自己紹介をしようよ。ぼくは、<RoboNameC>っていいます。そしてぼくの後ろにいるのが<YourNameC>さんです。,
A002,C,A003,,<LookNingen>,$じゃあ<YourNameC>さん、自己紹介してください。,じゃあ<YourNameC>さん、自己紹介してください。,
A003,C,A004,,<LookKaijo>,@（話し終わったら押してください）#(名前と学部を言ってください。),<YourNameC>さん、ありがとう,
A004,A,A005,,,$ぼくは、<RoboNameA>です。ぼくの後ろにいるのが<YourNameA>さんです。,ぼくは、<RoboNameA>です。ぼくの後ろにいるのが<YourNameA>さんです。,
A005,A,A006,,<LookNingen>,$<YourNameA>さん、自己紹介してください。,<YourNameA>さん、自己紹介してください。,
A006,A,A007,,<LookKaijo>,@（話し終わったら押してください）#(名前と学部を言ってください。),<YourNameA>さん、よろしく,
A007,D,A008,,,$ボクの名前は<RoboNameD>です。後ろにいるのが<YourNameD>さんだよ。,ボクの名前は<RoboNameD>です。後ろにいるのが<YourNameD>さんだよ。,
A008,D,A009,,<LookNingen>,$<YourNameD>さん、自己紹介してください。,<YourNameD>さん、自己紹介してください。,
A009,D,A00A,,<LookKaijo>,@（話し終わったら押してください）#(名前と学部を言ってください。),<YourNameD>さん、よろしく,
A00A,B,A00B,,,$ボクの名前は<RoboNameB>です。後ろにいるのが<YourNameB>さんだよ。,ボクの名前は<RoboNameB>です。後ろにいるのが<YourNameB>さんだよ。,
A00B,B,A00C,,<LookNingen>,$<YourNameB>さん、自己紹介してください。,<YourNameB>さん、自己紹介してください。,
A00C,B,A010,,<LookKaijo>,@（話し終わったら押してください）#(名前と学部を言ってください。),<YourNameB>さん、よろしく,
#紹介
#紹介
#紹介
A010,C,,<Transition>,,$そろそろ始めよっか。,そろそろ始めよっか。,
